famille,activitesprincipales,tailleentreprisesquirecrutent
Conception / Etudes,"Produire les études techniques d'un projet dans son domaine, dans le respect des objectifs de qualité, de coût et de délais préalablement définis,Proposer, à partir d'un cahier des charges, des solutions techniques adéquates (études ou fonctions complètes),Encadrer les techniciens (projeteurs, dessinateurs...) et piloter les sous-traitants intervenant dans sa spécialité,Participer aux réunions d'avancement et de coordination,Assurer l'expertise et le diagnostic technique,Etre garant des livrables et attendus,Assurer le reporting","[{'name': 'sans salariés', 'value': 21}, {'name': '1-9 salariés', 'value': 178}, {'name': '10-49 salariés', 'value': 315}, {'name': '50 salariés et plus', 'value': 274}, {'name': '250 salariés et plus', 'value': 337}, {'name': 'non renseigné', 'value': 37}]"
Etudes Marketing et Opinion,"Réaliser les analyses demandées par le service d'études,Identifier les données à collecter (type de données, périodicité…) ainsi que les moyens de collecte (type de questions, panel, grille d'évaluation, taille de l'échantillon…),Evaluer et choisir les méthodes statistiques à utiliser pour calculer et analyser les informations récoltés,Programmer le logiciel de traitement de donnée pour pouvoir réaliser les analyses selon le plan de traitement demandé par le service d'études,Identifier les biais d'analyse (fausses données, données en écart...) et épurer la base de données récoltés,Synthétiser les données collectées et choisir les modes de représentation les plus pertinents,Définir une modélisation statistique qui permette de répondre à une problématique,Sourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l'analyse et pertinentes","[{'name': 'sans salariés', 'value': 8}, {'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 10}, {'name': '50 salariés et plus', 'value': 5}, {'name': '250 salariés et plus', 'value': 3}, {'name': 'non renseigné', 'value': 5}]"
Conception / Etudes,"Produire les études techniques d'un projet dans son domaine, dans le respect des objectifs de qualité, de coût et de délais préalablement définis,Proposer, à partir d'un cahier des charges, des solutions techniques adéquates (études ou fonctions complètes),Encadrer les techniciens (projeteurs, dessinateurs...) et piloter les sous-traitants intervenant dans sa spécialité,Participer aux réunions d'avancement et de coordination,Assurer l'expertise et le diagnostic technique,Etre garant des livrables et attendus,Assurer le reporting","[{'name': 'sans salariés', 'value': 21}, {'name': '1-9 salariés', 'value': 178}, {'name': '10-49 salariés', 'value': 315}, {'name': '50 salariés et plus', 'value': 274}, {'name': '250 salariés et plus', 'value': 337}, {'name': 'non renseigné', 'value': 37}]"
Etudes Marketing et Opinion,"Analyser l'ensemble des réponses aux questions ouvertes du questionnaires,Classer et regrouper les réponses par ensemble pertinent,Attribuer un code à chaque ensemble de réponses pertinent,Transmettre les nouvelles codifications aux équipes de production pour qu'elles soient intégrées dans le traitement des données","[{'name': '10-49 salariés', 'value': 2}, {'name': 'non renseigné', 'value': 1}]"
Etudes Marketing et Opinion,"Analyser l'ensemble des réponses aux questions ouvertes du questionnaires,Classer et regrouper les réponses par ensemble pertinent,Attribuer un code à chaque ensemble de réponses pertinent,Transmettre les nouvelles codifications aux équipes de production pour qu'elles soient intégrées dans le traitement des données","[{'name': '10-49 salariés', 'value': 2}, {'name': 'non renseigné', 'value': 1}]"
Communication et Marketing,"Développer la création, la qualité et la cohérence des formes et des contenus de communication interne et/ou externe permettant de traduire en messages la stratégie fixée par la direction. ,Réaliser des études de marché, des analyses de positionnement et une veille concurrentielle. Assurer l'exploitation des données recueillies afin d'anticiper les évolutions et proposer des actions préventives et correctives,Concevoir ou mettre en œuvre les moyens et actions nécessaires pour faciliter l'interaction de l’entreprise avec son environnement,Participer à l'implémentation d'une communication de crise, sur le plan commercial, technique et social, dans les services concernés ,Aider à la gestion du budget de communication et marketing","[{'name': 'sans salariés', 'value': 17}, {'name': '1-9 salariés', 'value': 167}, {'name': '10-49 salariés', 'value': 74}, {'name': '50 salariés et plus', 'value': 105}, {'name': '250 salariés et plus', 'value': 73}, {'name': 'non renseigné', 'value': 87}]"
Communication et Marketing,"Développer la création, la qualité et la cohérence des formes et des contenus de communication interne et/ou externe permettant de traduire en messages la stratégie fixée par la direction. ,Réaliser des études de marché, des analyses de positionnement et une veille concurrentielle. Assurer l'exploitation des données recueillies afin d'anticiper les évolutions et proposer des actions préventives et correctives,Concevoir ou mettre en œuvre les moyens et actions nécessaires pour faciliter l'interaction de l’entreprise avec son environnement,Participer à l'implémentation d'une communication de crise, sur le plan commercial, technique et social, dans les services concernés ,Aider à la gestion du budget de communication et marketing","[{'name': 'sans salariés', 'value': 17}, {'name': '1-9 salariés', 'value': 167}, {'name': '10-49 salariés', 'value': 74}, {'name': '50 salariés et plus', 'value': 105}, {'name': '250 salariés et plus', 'value': 73}, {'name': 'non renseigné', 'value': 87}]"
Coordination Projets,"Définir la stratégie de concertation avec le chef de projet, et l'assister dans la mise en oeuvre,Organiser et animer des rencontres avec les parties prenantes,Représenter le maître d'ouvrage lors des différentes rencontres avec les parties prenantes autour du projet (réunions, commissions, comités, assemblés...),Identifier, grâce à une connaissance détaillée des aspects techniques du projet, les points de friction éventuels entre le maître d'ouvrage et les autres parties prenantes,Négocier avec les parties prenantes sur le terrain pour défendre les intérêts du maître d'ouvrage,Participer à l'élaboration des documents contractuels et administratifs des projets, et superviser leur bonne réalisation dans les délais impartis,Réaliser une veille territoriale et informer l'équipe projet","[{'name': '1-9 salariés', 'value': 0}, {'name': '10-49 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 3}, {'name': '250 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Coordination Projets,"Définir la stratégie de concertation avec le chef de projet, et l'assister dans la mise en oeuvre,Organiser et animer des rencontres avec les parties prenantes,Représenter le maître d'ouvrage lors des différentes rencontres avec les parties prenantes autour du projet (réunions, commissions, comités, assemblés...),Identifier, grâce à une connaissance détaillée des aspects techniques du projet, les points de friction éventuels entre le maître d'ouvrage et les autres parties prenantes,Négocier avec les parties prenantes sur le terrain pour défendre les intérêts du maître d'ouvrage,Participer à l'élaboration des documents contractuels et administratifs des projets, et superviser leur bonne réalisation dans les délais impartis,Réaliser une veille territoriale et informer l'équipe projet","[{'name': '1-9 salariés', 'value': 0}, {'name': '10-49 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 3}, {'name': '250 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Système d'Information,"Analyser des besoins fonctionnels et techniques,Coder, paramétrer et implémenter la solution,Dérouler les tests et valider son développement,Gérer la maintenance corrective et évolutive de l’application","[{'name': '1-9 salariés', 'value': 8}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 5}, {'name': '250 salariés et plus', 'value': 7}, {'name': 'non renseigné', 'value': 3}]"
Système d'Information,"Analyser des besoins fonctionnels et techniques,Coder, paramétrer et implémenter la solution,Dérouler les tests et valider son développement,Gérer la maintenance corrective et évolutive de l’application","[{'name': '1-9 salariés', 'value': 8}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 5}, {'name': '250 salariés et plus', 'value': 7}, {'name': 'non renseigné', 'value': 3}]"
Qualité,"Conseiller sur les bonnes pratiques et promouvoir les initiatives RSE au sein de l'entreprise,Participer à la mise en place et au développement de la démarche RSE en cohérence avec les autres politiques (RH, production, sécurité, prévention...),Mettre en place des indicateurs et processus de contrôle de la performance de la politique RSE / développement durable et superviser l'atteinte des objectifs,Organiser des campagnes de sensibilisation au développement durable auprès de l'ensemble du personnel (plaquettes, brochures, guides...),Assurer une veille et adapter la politique aux nouvelles contraintes réglementaires et normatives (ISO 26000, GRI, Article 225 de la loi ""Grenelle 2""...),Assurer le reporting","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 30}, {'name': '10-49 salariés', 'value': 15}, {'name': '50 salariés et plus', 'value': 13}, {'name': '250 salariés et plus', 'value': 9}, {'name': 'non renseigné', 'value': 6}]"
Qualité,"Conseiller sur les bonnes pratiques et promouvoir les initiatives RSE au sein de l'entreprise,Participer à la mise en place et au développement de la démarche RSE en cohérence avec les autres politiques (RH, production, sécurité, prévention...),Mettre en place des indicateurs et processus de contrôle de la performance de la politique RSE / développement durable et superviser l'atteinte des objectifs,Organiser des campagnes de sensibilisation au développement durable auprès de l'ensemble du personnel (plaquettes, brochures, guides...),Assurer une veille et adapter la politique aux nouvelles contraintes réglementaires et normatives (ISO 26000, GRI, Article 225 de la loi ""Grenelle 2""...),Assurer le reporting","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 30}, {'name': '10-49 salariés', 'value': 15}, {'name': '50 salariés et plus', 'value': 13}, {'name': '250 salariés et plus', 'value': 9}, {'name': 'non renseigné', 'value': 6}]"
Conseil en Recrutement,"Analyser le besoin en recrutement et le profil recherché avec le consultant, Participer à la stratégie de recherche ,Rechercher les candidats potentiels en appliquant les méthodes et scénarii établis,Selectionner les candidats répondant aux critères definis par le client,Présenter les principales missions, les enjeux et le profil du poste aux candidats,Mener des recherches documentaires sur les secteurs d'activité, les emplois ainsi que les multiples sources de candidats ,Rendre compte de l’état d’avancement de la mission","[{'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 3}, {'name': '250 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Conseil en Recrutement,"Analyser le besoin en recrutement et le profil recherché avec le consultant, Participer à la stratégie de recherche ,Rechercher les candidats potentiels en appliquant les méthodes et scénarii établis,Selectionner les candidats répondant aux critères definis par le client,Présenter les principales missions, les enjeux et le profil du poste aux candidats,Mener des recherches documentaires sur les secteurs d'activité, les emplois ainsi que les multiples sources de candidats ,Rendre compte de l’état d’avancement de la mission","[{'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 3}, {'name': '250 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Conseil en Recrutement,"Analyser avec le Consultant, le besoin en recrutement et le profil recherché,Proposer des stratégies de recherche et élaborer des plans pour identifier des candidats potentiels,Rechercher de potentiels candidats correspondant au profil de poste exprimé par le client.,Sélectionner parmi eux, ceux qui répondent le mieux aux critères de recherche ,Organiser les bases de données, sources documentaires, candidathèques...,Suivre l’état d’avancement et évaluer la mission de recherche (difficultés, remarques sur le marché, solutions proposées...),Rédiger des bilans de recherche pour les clients et les consultants","[{'name': 'sans salariés', 'value': 30}, {'name': '1-9 salariés', 'value': 180}, {'name': '10-49 salariés', 'value': 45}, {'name': '50 salariés et plus', 'value': 37}, {'name': '250 salariés et plus', 'value': 21}, {'name': 'non renseigné', 'value': 35}]"
Conseil en Recrutement,"Analyser avec le Consultant, le besoin en recrutement et le profil recherché,Proposer des stratégies de recherche et élaborer des plans pour identifier des candidats potentiels,Rechercher de potentiels candidats correspondant au profil de poste exprimé par le client.,Sélectionner parmi eux, ceux qui répondent le mieux aux critères de recherche ,Organiser les bases de données, sources documentaires, candidathèques...,Suivre l’état d’avancement et évaluer la mission de recherche (difficultés, remarques sur le marché, solutions proposées...),Rédiger des bilans de recherche pour les clients et les consultants","[{'name': 'sans salariés', 'value': 30}, {'name': '1-9 salariés', 'value': 180}, {'name': '10-49 salariés', 'value': 45}, {'name': '50 salariés et plus', 'value': 37}, {'name': '250 salariés et plus', 'value': 21}, {'name': 'non renseigné', 'value': 35}]"
Développement et tests,"Auditer les sites web et analyser leur audience,Conseiller le client sur la stratégie d'acquisition de référencement (référencement naturel, amélioration de la structure du site, optimisation du contenu via mots clés, achat de mots clés, réseaux sociaux),Optimiser la structure du site et de chacune de ses pages afin de favoriser son indexation,Concevoir des reportings de suivi,Assurer une veille sur les algorithmes de référencement des moteurs de recherche et les techniques de référencement","[{'name': '1-9 salariés', 'value': 20}, {'name': '10-49 salariés', 'value': 29}, {'name': '50 salariés et plus', 'value': 6}, {'name': '250 salariés et plus', 'value': 5}, {'name': 'non renseigné', 'value': 8}]"
Développement et tests,"Auditer les sites web et analyser leur audience,Conseiller le client sur la stratégie d'acquisition de référencement (référencement naturel, amélioration de la structure du site, optimisation du contenu via mots clés, achat de mots clés, réseaux sociaux),Optimiser la structure du site et de chacune de ses pages afin de favoriser son indexation,Concevoir des reportings de suivi,Assurer une veille sur les algorithmes de référencement des moteurs de recherche et les techniques de référencement","[{'name': '1-9 salariés', 'value': 20}, {'name': '10-49 salariés', 'value': 29}, {'name': '50 salariés et plus', 'value': 6}, {'name': '250 salariés et plus', 'value': 5}, {'name': 'non renseigné', 'value': 8}]"
Relations Publiques,"Développer des partenariats presse en entretenant et en enrichissant un portefeuille de relations presse,Gérer les sollicitations de la presse et faire l'interface entre les demandes des journalistes et les responsables internes,Rédiger les argumentaires (communiqués de presse, dossiers de presse, autres supports d'information) à destination des journalistes pour valoriser l'événement ou le site,Planifier et suivre les campagnes de presse en lien avec la direction générale,Gérer des invités presse présents sur la manifestation,Assurer une veille média sur la manifestation, le site voire l'entreprise,Suivre la performance et les ""retombées presse"" des actions de communication","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 4}]"
Relations Publiques,"Développer des partenariats presse en entretenant et en enrichissant un portefeuille de relations presse,Gérer les sollicitations de la presse et faire l'interface entre les demandes des journalistes et les responsables internes,Rédiger les argumentaires (communiqués de presse, dossiers de presse, autres supports d'information) à destination des journalistes pour valoriser l'événement ou le site,Planifier et suivre les campagnes de presse en lien avec la direction générale,Gérer des invités presse présents sur la manifestation,Assurer une veille média sur la manifestation, le site voire l'entreprise,Suivre la performance et les ""retombées presse"" des actions de communication","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 4}]"
Ressources Humaines,"Proposer, élaborer, actualiser et implémenter la politique RH dans son domaine de compétence (gestion des compétences, formation, gestion des carrières, gestion administrative et sociale, paie, recrutement, SIRH…),Conseiller et assister les responsables opérationnels dans leurs problématiques RH,Assurer l'intégration et le suivi RH des collaborateurs,Veiller au respect des obligations légales dans son domaine,Assurer un reporting régulier des activités et problématiques RH auprès de la direction","[{'name': 'sans salariés', 'value': 66}, {'name': '1-9 salariés', 'value': 654}, {'name': '10-49 salariés', 'value': 215}, {'name': '50 salariés et plus', 'value': 230}, {'name': '250 salariés et plus', 'value': 270}, {'name': 'non renseigné', 'value': 136}]"
Ressources Humaines,"Proposer, élaborer, actualiser et implémenter la politique RH dans son domaine de compétence (gestion des compétences, formation, gestion des carrières, gestion administrative et sociale, paie, recrutement, SIRH…),Conseiller et assister les responsables opérationnels dans leurs problématiques RH,Assurer l'intégration et le suivi RH des collaborateurs,Veiller au respect des obligations légales dans son domaine,Assurer un reporting régulier des activités et problématiques RH auprès de la direction","[{'name': 'sans salariés', 'value': 66}, {'name': '1-9 salariés', 'value': 654}, {'name': '10-49 salariés', 'value': 215}, {'name': '50 salariés et plus', 'value': 230}, {'name': '250 salariés et plus', 'value': 270}, {'name': 'non renseigné', 'value': 136}]"
Coordination Projets,"Analyser et interpréter la demande des clients en vue d'en faire un cahier des charges définissant les matériaux et les meilleures méthodes à utiliser ,Réaliser la programmation robotique et les notices d'exploitation ,Installer, régler et améliorer les machines ,Concevoir et réaliser des plans de tests de validation fonctionnelle et technique des automates industriels ,Effectuer l'entretien et le contrôle de la machine: nettoyer ou remplacer tout ou partie des dispositifs robotisés ou pilotés par des automates sur site ,Identifier rapidement les anomalies et dysfonctionnements pour les résoudre afin de remettre la machine en état","[{'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 12}, {'name': '50 salariés et plus', 'value': 9}, {'name': '250 salariés et plus', 'value': 8}, {'name': 'non renseigné', 'value': 4}]"
Coordination Projets,"Analyser et interpréter la demande des clients en vue d'en faire un cahier des charges définissant les matériaux et les meilleures méthodes à utiliser ,Réaliser la programmation robotique et les notices d'exploitation ,Installer, régler et améliorer les machines ,Concevoir et réaliser des plans de tests de validation fonctionnelle et technique des automates industriels ,Effectuer l'entretien et le contrôle de la machine: nettoyer ou remplacer tout ou partie des dispositifs robotisés ou pilotés par des automates sur site ,Identifier rapidement les anomalies et dysfonctionnements pour les résoudre afin de remettre la machine en état","[{'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 12}, {'name': '50 salariés et plus', 'value': 9}, {'name': '250 salariés et plus', 'value': 8}, {'name': 'non renseigné', 'value': 4}]"
Etudes Marketing et Opinion,"Animer son réseau d'enquêteurs,Planifier le travail des enquêteurs,Suivre le déroulement des études sur le terrain et la production de chacun des enquêteurs,Ajuster la répartition de la charge d'activité selon l'avancée de l'enquête,Faire le suivi des indicateurs qui lui ont été fixés,Assurer un rôle d’alerte et de contrôle par rapport au bon déroulement","[{'name': 'sans salariés', 'value': 7}, {'name': '1-9 salariés', 'value': 75}, {'name': '10-49 salariés', 'value': 49}, {'name': '50 salariés et plus', 'value': 24}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 30}]"
Etudes Marketing et Opinion,"Animer son réseau d'enquêteurs,Planifier le travail des enquêteurs,Suivre le déroulement des études sur le terrain et la production de chacun des enquêteurs,Ajuster la répartition de la charge d'activité selon l'avancée de l'enquête,Faire le suivi des indicateurs qui lui ont été fixés,Assurer un rôle d’alerte et de contrôle par rapport au bon déroulement","[{'name': 'sans salariés', 'value': 7}, {'name': '1-9 salariés', 'value': 75}, {'name': '10-49 salariés', 'value': 49}, {'name': '50 salariés et plus', 'value': 24}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 30}]"
Soutien,"Collecter, indexer et diffuser les informations,Analyser les données et informations collectées et dresser des conclusions et des tendances.,Identifier les enjeux stratégiques de l'environnement de l'entreprise et de son secteur pour accompagner les opérationnels dans la prise de décision. ,Définir et mettre en oeuvre des procédures et outils permettant à la structure la recherche et l'utilisation efficace des données dont elle a besoin pour mener ses activités au quotidien,Définir la politique de protection des documents dans le respect de la législation en vigueur et des normes de qualité, de sécurité et de confidentialité,Mettre en place des procédures et outils de veille (stratégique, économique, concurrentielle, réglementaire ...) qui lui permettent de détecter et anticiper les changements et évolutions affectant l'activité de la structure.,Réaliser des revues de presse, des guides d'archivage...,Recenser et traiter la demande des équipes sur des informations particulières","[{'name': 'sans salariés', 'value': 5}, {'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 15}, {'name': '50 salariés et plus', 'value': 17}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 8}]"
Soutien,"Collecter, indexer et diffuser les informations,Analyser les données et informations collectées et dresser des conclusions et des tendances.,Identifier les enjeux stratégiques de l'environnement de l'entreprise et de son secteur pour accompagner les opérationnels dans la prise de décision. ,Définir et mettre en oeuvre des procédures et outils permettant à la structure la recherche et l'utilisation efficace des données dont elle a besoin pour mener ses activités au quotidien,Définir la politique de protection des documents dans le respect de la législation en vigueur et des normes de qualité, de sécurité et de confidentialité,Mettre en place des procédures et outils de veille (stratégique, économique, concurrentielle, réglementaire ...) qui lui permettent de détecter et anticiper les changements et évolutions affectant l'activité de la structure.,Réaliser des revues de presse, des guides d'archivage...,Recenser et traiter la demande des équipes sur des informations particulières","[{'name': 'sans salariés', 'value': 5}, {'name': '1-9 salariés', 'value': 13}, {'name': '10-49 salariés', 'value': 15}, {'name': '50 salariés et plus', 'value': 17}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 8}]"
Gouvernance,"Définir et gérer les méthodes et les normes que l’entreprise utilise,Rédiger et mettre en place les Plans d'assurance Qualité (PAQ),Mettre en place des procédures qualités projet / produit intégrées au guide méthodologique,Faire le choix des outils de qualité de développement,Faire le choix des outils d’assurance qualité,Définir et gérer les référentiels de développement,Suivre le respect des procédures dans chaque projet","[{'name': 'sans salariés', 'value': 12}, {'name': '1-9 salariés', 'value': 207}, {'name': '10-49 salariés', 'value': 113}, {'name': '50 salariés et plus', 'value': 174}, {'name': '250 salariés et plus', 'value': 235}, {'name': 'non renseigné', 'value': 105}]"
Gouvernance,"Définir et gérer les méthodes et les normes que l’entreprise utilise,Rédiger et mettre en place les Plans d'assurance Qualité (PAQ),Mettre en place des procédures qualités projet / produit intégrées au guide méthodologique,Faire le choix des outils de qualité de développement,Faire le choix des outils d’assurance qualité,Définir et gérer les référentiels de développement,Suivre le respect des procédures dans chaque projet","[{'name': 'sans salariés', 'value': 12}, {'name': '1-9 salariés', 'value': 207}, {'name': '10-49 salariés', 'value': 113}, {'name': '50 salariés et plus', 'value': 174}, {'name': '250 salariés et plus', 'value': 235}, {'name': 'non renseigné', 'value': 105}]"
Gestion et Coordination de l'Evénement,"Collecter auprès des différents acteurs toutes les informations relatives au planning,Optimiser le planning d'utilisation du ou des sites (faire des choix d'utilisation parmi plusieurs options),Faire des simulations pour optimiser l'utilisation du site,Tenir à jour le planning,Saisir les informations dans le logiciel dédié,Fournir aux commerciaux les informations nécessaires et les aider dans la détermination des sites et des dates,Allouer aux clients des dates d'utilisation du site,Faire circuler dans les services les informations relatives au planning","[{'name': '1-9 salariés', 'value': 1}, {'name': '10-49 salariés', 'value': 1}]"
Gestion et Coordination de l'Evénement,"Collecter auprès des différents acteurs toutes les informations relatives au planning,Optimiser le planning d'utilisation du ou des sites (faire des choix d'utilisation parmi plusieurs options),Faire des simulations pour optimiser l'utilisation du site,Tenir à jour le planning,Saisir les informations dans le logiciel dédié,Fournir aux commerciaux les informations nécessaires et les aider dans la détermination des sites et des dates,Allouer aux clients des dates d'utilisation du site,Faire circuler dans les services les informations relatives au planning","[{'name': '1-9 salariés', 'value': 1}, {'name': '10-49 salariés', 'value': 1}]"
Etudes Marketing et Opinion,"Superviser la production d'études jusqu'à la synthèse des résultats,Elaborer les recommandations aux clients à la suite des résultats d'étude,Restituer (par écrit et oralement) les résultats d'études et recommandations aux clients,Elaborer les propositions commerciales,Recueillir de l’information sur les besoins des clients en matière d’études,Accompagner le client tout au long de l'étude,Assurer la conformité de la réalisation par rapport aux moyens alloués et conformément aux délais,Assurer l'encadrement de proximité des chargés d'études","[{'name': 'sans salariés', 'value': 74}, {'name': '1-9 salariés', 'value': 485}, {'name': '10-49 salariés', 'value': 134}, {'name': '50 salariés et plus', 'value': 114}, {'name': '250 salariés et plus', 'value': 36}, {'name': 'non renseigné', 'value': 137}]"
Phase amont / Cadrage,"Réaliser les études pré-opérationnelles destinées à clarifier les objectifs et les contraintes du projet,Réaliser le pré-programme décrivant les caractéristiques et fonctionnalités majeures de l'ouvrage en vue d'une consultation des concepteurs,Réaliser le contrôle de la conformité des études de conception au programme, au moins jusqu'au stade avant-projet sommaire (APS) et éventuellement jusqu'à l'avant-projet détaillé (APD),Evaluer le budget estimatif de réalisation de l'ouvrage","[{'name': 'sans salariés', 'value': 2}, {'name': '1-9 salariés', 'value': 30}, {'name': '10-49 salariés', 'value': 28}, {'name': '50 salariés et plus', 'value': 10}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 8}]"
Etudes Marketing et Opinion,"Superviser la production d'études jusqu'à la synthèse des résultats,Elaborer les recommandations aux clients à la suite des résultats d'étude,Restituer (par écrit et oralement) les résultats d'études et recommandations aux clients,Elaborer les propositions commerciales,Recueillir de l’information sur les besoins des clients en matière d’études,Accompagner le client tout au long de l'étude,Assurer la conformité de la réalisation par rapport aux moyens alloués et conformément aux délais,Assurer l'encadrement de proximité des chargés d'études","[{'name': 'sans salariés', 'value': 74}, {'name': '1-9 salariés', 'value': 485}, {'name': '10-49 salariés', 'value': 134}, {'name': '50 salariés et plus', 'value': 114}, {'name': '250 salariés et plus', 'value': 36}, {'name': 'non renseigné', 'value': 137}]"
Offre de services,"Réaliser des études de marché (client, fournisseur, concurrence),Assurer une veille sur les technologies, les produits et les comportements,Décliner une offre de produits ou de services en termes de fonctionnalités et de positionnement (cible client, roadmap produit, prix, business plan, communication, distribution),Suivre l’évolution des ventes pour modifier la stratégie produit,Participer à l'élaboration de la stratégie commerciale,Identifier les pistes d'amélioration de l'offre en intégrant des solutions innovantes","[{'name': 'sans salariés', 'value': 18}, {'name': '1-9 salariés', 'value': 287}, {'name': '10-49 salariés', 'value': 237}, {'name': '50 salariés et plus', 'value': 285}, {'name': '250 salariés et plus', 'value': 317}, {'name': 'non renseigné', 'value': 128}]"
Offre de services,"Réaliser des études de marché (client, fournisseur, concurrence),Assurer une veille sur les technologies, les produits et les comportements,Décliner une offre de produits ou de services en termes de fonctionnalités et de positionnement (cible client, roadmap produit, prix, business plan, communication, distribution),Suivre l’évolution des ventes pour modifier la stratégie produit,Participer à l'élaboration de la stratégie commerciale,Identifier les pistes d'amélioration de l'offre en intégrant des solutions innovantes","[{'name': 'sans salariés', 'value': 18}, {'name': '1-9 salariés', 'value': 287}, {'name': '10-49 salariés', 'value': 237}, {'name': '50 salariés et plus', 'value': 285}, {'name': '250 salariés et plus', 'value': 317}, {'name': 'non renseigné', 'value': 128}]"
Phase amont / Cadrage,"Réaliser les études pré-opérationnelles destinées à clarifier les objectifs et les contraintes du projet,Réaliser le pré-programme décrivant les caractéristiques et fonctionnalités majeures de l'ouvrage en vue d'une consultation des concepteurs,Réaliser le contrôle de la conformité des études de conception au programme, au moins jusqu'au stade avant-projet sommaire (APS) et éventuellement jusqu'à l'avant-projet détaillé (APD),Evaluer le budget estimatif de réalisation de l'ouvrage","[{'name': 'sans salariés', 'value': 2}, {'name': '1-9 salariés', 'value': 30}, {'name': '10-49 salariés', 'value': 28}, {'name': '50 salariés et plus', 'value': 10}, {'name': '250 salariés et plus', 'value': 16}, {'name': 'non renseigné', 'value': 8}]"
Pilotage,"Organiser, recruter et manager l'équipe projet,Alimenter les tableaux de bord de suivi et reporter régulièrement en identifiant les risques encourus,Gérer et anticiper les risques et les aléas sur le projet,Communiquer sur l'avancée du projet,Piloter les relations avec les parties prenantes extérieurs (client, fournisseurs, partenaires),Alerter sa hiérarchie de toute déviation au contrat et tenir informé les autres membres de l'équipe de projet,Participer aux études de conception et optimiser les solutions techniques,Etablir les dossiers de consultation, d'analyse des offres, des marchés et des ordres de service,Participer aux bilans de fin de contrats et aux retours d'expérience","[{'name': 'sans salariés', 'value': 31}, {'name': '1-9 salariés', 'value': 533}, {'name': '10-49 salariés', 'value': 802}, {'name': '50 salariés et plus', 'value': 825}, {'name': '250 salariés et plus', 'value': 712}, {'name': 'non renseigné', 'value': 151}]"
Pilotage,"Organiser, recruter et manager l'équipe projet,Alimenter les tableaux de bord de suivi et reporter régulièrement en identifiant les risques encourus,Gérer et anticiper les risques et les aléas sur le projet,Communiquer sur l'avancée du projet,Piloter les relations avec les parties prenantes extérieurs (client, fournisseurs, partenaires),Alerter sa hiérarchie de toute déviation au contrat et tenir informé les autres membres de l'équipe de projet,Participer aux études de conception et optimiser les solutions techniques,Etablir les dossiers de consultation, d'analyse des offres, des marchés et des ordres de service,Participer aux bilans de fin de contrats et aux retours d'expérience","[{'name': 'sans salariés', 'value': 31}, {'name': '1-9 salariés', 'value': 533}, {'name': '10-49 salariés', 'value': 802}, {'name': '50 salariés et plus', 'value': 825}, {'name': '250 salariés et plus', 'value': 712}, {'name': 'non renseigné', 'value': 151}]"
Etudes Marketing et Opinion,"Analyser les questionnaires et les besoins des Chargés d'études et leur proposer des solutions de programmation adéquates,Alerter les Chargés d'études en cas d'incohérences sur des propositions de filtres, de variables... ,Scripter le questionnaire d'enquête sur les plateformes souhaitées (Internet, Téléphone, Mobile, Tablettes...),Programmer les règles de passation du questionnaire (sauts de questions, intégration de variables...),Effectuer une veille régulière sur les outils, les langages et les pratiques de scripting","[{'name': 'non renseigné', 'value': 1}]"
